id,line_id,station_1_id,station_2_id
CPS-BLM,NOR,BLM,CPS
KSX-HAI,VIC,KSX,HAI
TNG-ACT,PIC,ACT,TNG
WLO-BNK,WAC,WLO,BNK
PYB-EPY,DST,EPY,PYB
EUS-CTN,NOR,EUS,CTN
LGN-DBN,CTR,LGN,DBN
NKP-HOH,MET,HOH,NKP
PVL-HGR,CTR,PVL,HGR
EPK-DGE,DST,DGE,EPK
RVP-HSD,DST,RVP,HSD
SRP-RSG,CTR,RSG,SRP
WKN-BSC,DST,BSC,WKN
SHH-RYL,PIC,RYL,SHH
WHP-FYR,JUB,WHP,FYR
PNR-NHA,MET,PNR,NHA
TNG-SFB,DST,TNG,SFB
NWH-NOW,MET,NOW,NWH
STD-MED,CTR,MED,STD
HTD-GGN,NOR,HTD,GGN
TFP-ACY,NOR,TFP,ACY
LVT-BLG,CTR,LVT,BLG
WLO-LBN,BKL,LBN,WLO
GPK-BND,JUB,BND,GPK
MYB-BST,BKL,BST,MYB
VIC-SSQ,CIR,VIC,SSQ
WHM-BBB,DST,BBB,WHM
SPU-CHL,CTR,CHL,SPU
WHP-KBN,JUB,KBN,WHP
TNG-CWP,DST,CWP,TNG
WHM-STD,JUB,WHM,STD
WOP-TAW,NOR,WOP,TAW
RSQ-KSX,PIC,RSQ,KSX
DGY-DGE,DST,DGY,DGE
WRR-OXC,VIC,OXC,WRR
EAC-BOR,NOR,EAC,BOR
LSQ-CGN,PIC,LSQ,CGN
NHG-HPK,CTR,HPK,NHG
HGT-ACY,NOR,ACY,HGT
HCL-CND,NOR,HCL,CND
WPL-SGN,DST,WPL,SGN
WHM-PLW,DST,WHM,PLW
WSP-LAD,CIR,LAD,WSP
ECM-EBY,DST,EBY,ECM
WLO-KNG,NOR,KNG,WLO
MED-BLG,CTR,BLG,MED
WPL-ADE,DST,ADE,WPL
OXC-GPK,VIC,GPK,OXC
WJN-HSN,BKL,WJN,HSN
TBY-TBC,NOR,TBY,TBC
RKW-MPK,MET,RKW,MPK
GTR-ECT,DST,ECT,GTR
OSY-BOS,PIC,OSY,BOS
HRC-HR5,PIC,HR5,HRC
GPS-BST,MET,BST,GPS
